,Induced,,,"I-OTH is for example answer for different function; not nonsense, but not right at all",COR MCOR SCOR XCOR ?COR,"Naming inputs and outputs something other than input or output, or ""number"""
2000351028,"odd number times the number that is odd, so like 1,3,5,7,9 and you take 9 and multiply it by 4. if you take 7 you multiply by 3, if you take 5 multiply by 2.",NORM,,I-PAT,SCOR,"IO, I-MULT"
bahurd,the output is the input plus one,NORM,,I-ATH,XCOR,
lamkat,"If the first input is even and the second input is odd, it equals 1",NORM,,I-OTH,XCOR,I-EO
2000310231,Multiplies integer by 1,NORM,,I-OTH,XCOR,I-MULT
aeckard,"output=x-1 if x<=2, output=x if x=3, output=3*x/2 if x=4, output=x*2 if x=5, output=3*x/2 if x=6",NORM,,I-OTH,XCOR,IO
tjdurkin,positive numbers return a 0 and negative number return a 1,NORM,I-DNEG,I-OTH,XCOR,
vidhawan,adds .5,NORM,,I-OTH,XCOR,
2000375187,y = is the quotient in numerical order of x,NORM,,I-OTH,XCOR,
2000398552,Its listing non-fractional integers,NORM,,I-OTH,XCOR,
thagerma,create an interger,NORM,,I-OTH,XCOR,
2000328575,I think this function calculates a slope,NORM,,I-OTH,XCOR,
macfein,a number that goes into the number,NORM,,I-OTH,XCOR,
mcarafio,"integer, it is 1 because it is even",NORM,,I-OTH,XCOR,
btesto,everything to 0,NORM,,I-OTH,XCOR,
krbuen,multiplies the first integer by 2 and then subtracts by x,NORM,,I-OTH,XCOR,
srivallu,x2 -1,NORM,,I-OTH,XCOR,
dmachay,Serves as average,NORM,,I-OTH,XCOR,
sujprak,Assigns random value for every input.,NORM,,I-OTH,XCOR,
nshatkow,Adds 2 to the input integer,NORM,,I-OTH,XCOR,
mattroac,middle value,NORM,,I-OTH,XCOR,
erimwood,1 or goes to the even,NORM,,I-OTH,XCOR,
allenak,an even number is multiplied and an odd number is added,NORM,,I-OTH,XCOR,
breichar,It adds a number to be added each time.,NORM,,I-OTH,XCOR,
pputzbac,It multiplies odd numbers by what odd number they are in a list the first number being number 0.,NORM,,I-OTH,XCOR,
longrob,2,NONS,,,,
2000009154,Decimal?,NONS,,,,
kyflaher,determines guessing skills,NONS,,,,
jmperlst,36,NONS,,,,
eslough,1,NONS,,,,
ddichter,0,NONS,,,,
amagates,3,NONS,,,,
mfkone,alot,NONS,,,,
rlaramie,solves,NONS,,,,
matshish,6,NONS,,,,
jasgodur,FALSE,NONS,,,,
taylbrod,"if the addition is odd, false",NONS,,,,
cbsorens,evaluates fractional values from the integer,NONS,,,,
elsaren,count,NONS,,,,
oviers,boolean,NONS,,,,
chrblank@iu.edu,i don't know,IDK,,,,
200028423,not sure,IDK,,,,
3287604,no clue at all,IDK,,,,
aolshan,im really not sure,IDK,,,,
esctatum,I still do not kn ow,IDK,,,,
loralee,no clue,IDK,,,,
liuyit,no idea,IDK,,,,
nnhenson,dont know,IDK,,,,
tidellis,i am not sure,IDK,,,,
lwnorris,I have no idea,IDK,,,,
bpcole,No idea,IDK,,,,
lizhix,no idea,IDK,,,,
ripander,no idea,IDK,,,,
dixonjan,i do not understand,IDK,,,,
goldrsto,honestly I have no idea,IDK,,,,
jjandrad,idk,IDK,,,,
ctrierwi,"I really don't know, I'm very bad at math",IDK,,,,
calbray,I can't decide,IDK,,,,
gsuico,?,IDK,,,,
cjlatty,I have no idea.,IDK,,,,
