fcnname,userid,finalguess
SumBetween,emadsen,"Int 1 = B and int 2 = A
if A>B return 0
if A=B return B
if A<B return B + (B-1) + (B-2) + ... + A"
SumBetween,iilozor,"If the second number is less than the first number, return 0. 
If the second number equals the first number, return the number.
If the second number is greater, then add the second number to the first number plus 1 less than the second number."
SumBetween,abrown53,Returns the sum of the numbers between the first and second numbers.
SumBetween,zmothner,It adds up all the numbers less than input 1 and then subtracts that sum from the sum of all numbers less than (and including) input 2.
SumBetween,dli72,Returns the sum of all integers greater than or equal to the first number and less than or equal to the second.
SumBetween,ksang1,"Given the first number, if the second number is greater than the first number,  it is (first number + (1 + 2 + 3 +... secondnumber)"
SumBetween,srockhil,first input + sum from first input to second input
SumBetween,lqu2,"the function returns 0 if the first number is greater than the second number. then, from the moment when the two numbers are equal, it will evaluate to the second number plus the previous output"
SumBetween,spark108,"Given (a,b), if b<a, return 0
if a >=b, return ((a+b)(b-a+1)/2)"
SumBetween,hlucco,This function takes in two numbers and then adds the first to the second and then adds that sum to the second.
SumBetween,ksachan,"sum numbers from first number to second numbers, inclusive as long as first number < second number"
SumBetween,mthain,noooo give me my answer back. basically fib stuff but ..
SumBetween,mislam8,"if the second output is greater than the first, returns the sum of integers from first input to second input (inclusive)
else returns zero"
SumParityBool,ksachan,"True for lists of length 2 or 3
"
SumParityBool,dli72,Returns whether the sum of all numbers in the list is odd.
SumParityBool,ksang1,"If the sum of list is odd, return true"
SumParityBool,srockhil,"adds up elements, true if odd false if even
"
SumParityBool,emadsen,"even sum - False
odd sum - True"
SumParityInt,agoldb10,"I think this function returns 0 if 2 is a factor of the sum of the elements in the list, otherwise it returns 1."
SumParityInt,egrimsh1,Even sum goes to 0. Odd sum goes to 1. 
SumParityInt,spark108,.
SumParityInt,bhurd1,"0 if sum is even
1 if sum is odd"
SumParityInt,lqu2,0 if the sum of all integers is even and 1 if sum of all integers is odd
SumParityInt,mislam8,Counts the number of composite values in the set - an odd number of composite values outputs 0 and even number of composite values outputs 1
SumParityInt,ilayzer,odd number of odd numbers
SumParityInt,abrown53,"If the sum of the numbers in the list is odd, print 1. If the sum is even, print 0."
SumParityInt,mthain,"parity of the sum -> odd =1, even =0"
SumParityInt,zmothner,"Outputs 1 if the sum of all numbers is odd, otherwise outputs 0."
SumParityInt,iilozor,"If integers in list add up to even number: 0
else: 1"
SumParityInt,hlucco,Returns the index of the first prime in the list
