fcnname,userid,finalguess
Median,wbuerger,calculates the median
Median,akim112,median of the input integers
Median,jnieto,takes the average
Median,mkimurat,"I think it returns the median of the list.

ex;f( [7, 8, -9, 2, 6, 10, 5] ) = 6"
Median,nahmed12,"It will find median
"
Median,mmeyerso,"It does something related to the average of the whole thing, I can't figure it out :/
"
Median,spate116,The median of the input.
Median,jninotap,Returns the median
Median,mghani1,sum of all elements divided by 2
Median,sgupta46,"It takes the median of the numbers in the list - if the list is even, then it takes the average of the two middle-most numbers in the list."
SecondIntoFirstDivisible,grizk,"If the first number is cleanly divisible by the second number it outputs true, otherwise it outputs false."
SecondIntoFirstDivisible,mghani1,return true if input 1 % input 2 == 0
SecondIntoFirstDivisible,kfeinbe1,"true if #1 is a multiple of #2, false otherwise"
SecondIntoFirstDivisible,tnguye99,"If the second number is a multple of the first number or can become the first number using a scalar, then true. otherwise, false"
SecondIntoFirstDivisible,akim112,function will return true if second number is factor of the first number
SecondIntoFirstDivisible,xzhan180,"true if b divides a, false if not"
SecondIntoFirstDivisible,ojohnso3,True when the first number is divisible by the second.
SecondIntoFirstDivisible,rgupta33,"Return true if input is 0,0 or if first number is evenly divisible by the second number. "
SecondIntoFirstDivisible,elevin3,"true if the first number is at least equal to the second number, and if their product is less than 2
"
SecondIntoFirstDivisible,scho31,If the second number is a factor of the first number.
SecondIntoFirstDivisible,jadkl,"if b is a factor of a it is true
"
SecondIntoFirstDivisible,mlunghi,"If the first number is smaller than the second, it returns false, otherwise it returns true if the first divided by the second is an integer."
SecondIntoFirstDivisible,qwei3,"the second is a factor of the first
"
SecondIntoFirstDivisible,mkimurat,"I think the function returns true if b divides a, and false otherwise."
SecondIntoFirstDivisible,chorvitz,whether first is divisible by second
SecondIntoFirstDivisible,rfuller1,true if the second integer is a factor of the first integer
SecondIntoFirstDivisible,gwarre,True if the first number is positive and greater than the second number and the second number is not zero. True if the magnitude of the numbers are the same. False otherwise 
SecondIntoFirstDivisible,spate116,True if it is a positive power of the other.
SecondIntoFirstDivisible,sbawabe,i don't know
SecondIntoFirstDivisible,vkalev,Returns true if the first input is a multiple of the second
SecondIntoFirstDivisible,hpham2,"Returns true if first number is divisible by the second number, false otherwise"
SecondIntoFirstDivisible,ading6,y divides x
SecondIntoFirstDivisible,nparekh1,"It returns true if the first input is divisible by the second input, else false"
SecondIntoFirstDivisible,sli96,returns TRUE if and only if the first integer modulo the second integer is 0
SecondIntoFirstDivisible,ncousin2,second number is factor of teh first
SecondIntoFirstDivisible,qhan3,"Returns true if integer 2 is a factor of integer 1, else false.
 "
SecondIntoFirstDivisible,mmakhlou,finds if the sum between the two sets is greater than 2
SecondIntoFirstDivisible,cchrabas,"I think it returns true if the first number is divisible by the second number, and false otherwise."
SecondIntoFirstDivisible,jgraves1,"True if first number is zero
True if second numbers absolute value is 1
True absolute value of the two numbers is equal
Else false
"
SecondIntoFirstDivisible,jidehen,Returns true if y is a factor of x and false if y is not a factor of x. Always true if x is 0
SecondIntoFirstDivisible,,The first number must be divisible by the second
SecondIntoFirstDivisible,sddd,jk
SumBetween,jninotap,"Summation of the number of the number on the left to the number of the right. If the number on the left is greater than the number on the right, then it returns zero. "
SumBetween,mtu7,"The function adds up the range of numbers from the first input to the second number. If the second number is less than the first input, the function produces 0."
SumBetween,ysayin,Adds all the numbers between the given two numbers if the second one is bigger
SumBetween,nnguye20,"Not sure on this one. I've noticed that if the first integer is larger than the second, the output is 0. Only when they are equal is when the output is also the same number (i.e. 3,3 = 3). "
SumBetween,ncousin2,recursive thingy
SumBetween,xzhan180,"If a > b, return 0;
if b > a, return the sum of all integers from a to b, inclusive"
SumBetween,nparekh1,"I think this function does the following:
if input 1 > input 2, the output is 0
if input 1 < input 2: the output is the sum = input 1 + sum(numbers incrementing by 1 from input 1+1 to input 2)
eg: input: 3, 7, output = 3 + (4+5+6+7)"
SumBetween,vkalev,"If the second number is greater than the first, sum all the numbers in between, inclusive. If the first is greater, return 0."
SumBetween,sddd,2
SumBetween,dkhullar,"if num 1 > num 2 then output is 0, otherwise it is the sum of num1 + (num1 + 1) + (num1 + 2) + ....till num2"
SumBetween,sbawabe,no clue
SumBetween,jtarlows,"I don't know the exact formula but I know if n2 < n1, it returns 0 and once n1==n2 it returns  n1/n2 and if n2>n1 it returns n1+n2, including all n such that n1<=n<n2"
SumBetween,mgans,"f(x1,x2) = { 0 if x2 < x1, sum(x1->x2) if x2 >= x1}
"
SumBetween,jidehen,not sure but I think its been too long on this question
SumBetween,jbernar3,Sum up to the second input (inclusive) subtracted by the sum up to the first input (exclusive).
SumBetween,elevin3,"sum of integers starting at first number and ending at second number, inclusive
"
SumBetween,sli96,"Sums the numbers between the first given integer and the second. Sum is calculated as addition to 0, so if the first integer is greater than the second, the result is 0. "
SumBetween,dtoth1,"returns the sum of all the integers in the range of [i1, i2]"
SumBetween,spate116,Sum between the numbers.
SumBetween,nahmed12,"Not too sure
"
SumBetween,mmeyerso,It gets the sum of 1-X1 and subtracts that minus 1 from the sum of 1-X2
SumBetween,mghani1,if number 2 > number 1 it will sum up number 1 ....+ n + ... number 2 and return that number else return 0
SumBetween,kfeinbe1,(#1(#1-1)/2 - (#2)*(#2+1)/2) * -1
SumBetween,chorvitz,z=y(y+1)^2/2x
SumBetween,nkeirste,"Let the first int be a, the second be b, and the output be c. If a > b: c = 0. If a <= b: c = c(a, b-1) + b."
SumBetween,hpham2,"Returns 0 if first > second, first if first = second, sum of second ranging from first till second if first < second"
SumBetween,jzhang30,"if(input1 > input2) return 0;
else { return (input1+input2)*(input2-input1+1)/2; }"
SumBetween,cander23,"returns 0 if first input is bigger than second input
else return sum of every number added from first input to second input"
SumBetween,ading6,adds ints counting down from y until y < x
SumBetween,,I really don't know.
SumBetween,rfuller1,"0 if the two are equal or second is less than first, otherwise add up all integers beginning from the first until the second"
SumBetween,mabouela,multiplies second number by 5 ratiod
SumBetween,sgupta46,It returns the sum of all the numbers from the first number to the second number (inclusive of both).
SumBetween,akim112,"given two integers, the sum is second number + second number - 1 result"
SumBetween,wbuerger,sum of integers in range between first number and second number (inclusive on both ends)
SumBetween,jadkl,b+(b-1)+b(-2)...+a
SumBetween,mmo4,"if first number bigger than second, return 0"
SumBetween,kreyes7,"Let x be the first input and y be the second input.
If x < y, the output is y + y -1 + ... + x
If x = y, x is the output.
If x > y, the output is 0."
SumBetween,rgupta33,"Given integers n,k: if n,k > 0: (k + (k-1) + ... + (k - (k - 1))) - ((n - 1) + (n - (n - 1))) -1 if k < 0: return 0 if n < 0, k > 0: take (n + (n+1) + (n + (n+1))) - (k + (k-1)+...(k-(k-1)))"
SumBetween,tnguye99,"recursive function: if the numbers are the same -> output = one of the two numbers. if the first number is bigger than the second, then output is 0. else, if we have two numbers x and y, the output would be the value of (x, y-1) + y"
SumBetween,nrshaida,When the second number is 0 it evaluates to 0 and then after it adds the evaluation of the same first number but minus one of the second number with the second number. 
SumBetween,sduraide,stars from the equal and then increments by second number
SumBetween,jgraves1,Sums the numbers between the two numbers
SumBetween,ojohnso3,"bigger number second for nonzero output, unsure how smaller number comes into play but looks similar to fibonnacci sequence"
SumBetween,pdam,sums all integers from input1 as the start to input2 inclusive if input2 >= input1. 0 otherwise.
SumBetween,qhan3,"If I2 < I1, return 0. Else, return the result of a recursive sequence:
result(I1,I2)=I2+result(I1,I2-1)+result(I1,I2-2)+...+result(I1,I2=I1)."
SumBetween,mkimurat,"I think it's f(a, n) = n(n+1)/2 - (a)(a-1)/2 .

ex; f(1, 10) = 10(11)/2 - 0 = 55
       f(10, 10) = 10(11)/2 - 10(9)/2 = 55 - 45 = 10"
SumBetween,mlunghi,"If the first integer is less than the second, it returns 0. If the first integer is equal to the second, it returns the same integer. Otherwise, it returns n2+n0, where n0 is the result of passing n1,n2-1 into the function."
SumBetween,jnieto,"sum of all integers between two numbers, inclusive"
SumBetween,jgong15,"when first>2nd, 0
when first == 2nd, the value of either/both
then first<2nd, add 2nd value for prior value of same first, 2nd-1"
SumBetween,scho31,Sum of numbers from first input to second input
SumBetween,mtavukcu,it returns y * (x+y)
SumBetween,bsilverm,It sums the numbers in the range between the two numbers (second must be greater or 0 returned)
SumBetween,mmakhlou,"given x and y, 

sum = x 
for i in range y:
      sum = sum + i"
SumBetween,gwarre,let i1 be the first input and i2 be the second. Let n be the set of integers that starts at i2 and decreases by one until n==i1. This function is the summation of the set n. 
SumParityBool,jgong15,False if sum is even; True otherwise
SumParityBool,dkhullar,"If sum of numbers is odd, the function returns turn
Otherwise it returns false"
SumParityBool,mlunghi,"If the sum of the numbers in the list is even, it outputs false, if it is odd, it outputs true."
SumParityBool,hpham2,"Returns true if sum of all elements is odd, false otherwise"
SumParityBool,pdam,"true if the sum of inputs is not even, false otherwise"
SumParityBool,sddd,"if 0,3,5 numbers then false"
SumParityBool,nkeirste,"Returns true if the sum of the integers is odd, false if the sum is even."
SumParityBool,jnieto,You must have an odd number of odd numbers
SumParityBool,rfuller1,an else or where even numbers are true and odds are false
SumParityBool,chorvitz,"if sum of numbers is odd, true. if even, false."
SumParityBool,a,"if the length is 0,  2 or 4 its false"
SumParityBool,mghani1,return true if sum of first n/2 numbers is greater than sum of last n/2 numbers in list
SumParityBool,xzhan180,True if the list sums to an odd number and false if it sums to an even number
SumParityBool,kfeinbe1,sums of set is odd
SumParityBool,sgupta46,"It returns true if the numbers add up to an odd number, and false if the numbers add up to an even number."
SumParityBool,tnguye99,"if there exists an odd number the list, then it outputs true. otherwise false."
SumParityBool,gwarre,"The sum of the elements must be odd to return true, false otherwise"
SumParityBool,sboughan,Checks if the sum of the numbers are odd
SumParityBool,nahmed12,"I think this function sums up all the values in the list, and if it is odd, then it will return true, and it if is even, it will return false. "
SumParityBool,mgans,True if exactly one integer in the list is odd
SumParityBool,spate116,If the sum is odd the answer is true. Otherwise it is false.
SumParityBool,scho31,If the sum of the value is NOT evenly divisible by two
SumParityBool,mabouela,"if list of numbers sum to odd then true, else false"
SumParityBool,dtoth1,returns sum(input list) % 2 == 1. Return if parity of sum of list is odd
SumParityBool,jadkl,"If the sum of integers is odd, the output is true
"
SumParityBool,wbuerger,"returns true if there are an odd number of odd numbers in the list, false otherwise"
SumParityBool,elevin3,sum of all integers in list is odd
SumParityBool,ojohnso3,"True if sum of set is odd, false otherwise"
SumParityBool,ncousin2,sum of elements is odd then evaluates true
SumParityBool,mmo4,There is an odd number of odd numbers and even number of even numbers.
SumParityBool,lgamalel,Evaluates to true if the sum of the numbers is odd and false if it's even.
SumParityBool,qwei3,sum is odd: true/otherwise: false
SumParityBool,cander23,"returns false if sum is 0 or even
true otherwise"
SumParityInt,qhan3,"Returns 0 if the sum of the data is even, else returns 1. "
SumParityInt,sli96,"if the sum of all the integers in the list is even, the function returns 0, otherwise, returns 1. (sum is calculated as all numbers added to 0, so the empty list returns 0)"
SumParityInt,mtu7,"This function outputs 1 whenever the the sum of the integers in the list input is odd. If the sum of the integers in the list input is even, the function returns 0."
SumParityInt,msiff,I believe that this function sums the list of inputs and if the sum is even it will output 0 and if the sum is odd it will output 1.
SumParityInt,kreyes7,"If the sum of the elements of the list is odd, the output is 1. If the sum is even, the output is 0."
SumParityInt,jbernar3,The remainder of the sum of what is in the list when divided by 2.
SumParityInt,jidehen,returns the inputs sum mod 2
SumParityInt,jtarlows,"1 if the sum is odd, 0 if sum is even"
SumParityInt,bsilverm,I think it sums the numbers in the list and outputs 1 if the sum is odd and 0 if the sum is even
SumParityInt,sduraide,Starts with even and ends with odd
SumParityInt,vkalev,"If the sum is even, return 0. If the sum is odd, return 1."
SumParityInt,ojohnso3,"0 if sum of set is even, 1 if odd
"
SumParityInt,rgupta33,"If the list contains an odd number of odd numbers, return 1. Else return 0. "
SumParityInt,nnguye20,"If the sum of the integers in the list is even, return 0. Else, return 1."
SumParityInt,nrshaida,It has something to do with a true or false condition are returns an int representation of that evaluation. It has to do with the last number and relates to the middle contents. 
SumParityInt,sbawabe,if the last digit of the last number is odd?? i know this isn't right but im stuck
SumParityInt,nparekh1,"It size = 1, it returns 1 if the number is odd and 0 if number is even. else, it returns 1 if the numbers are a mix of odd and even and 0 if they are consistently odd/even"
SumParityInt,jgraves1,Sums the numbers and then does mod 2
SumParityInt,ading6,"0 if numbers in the set sum to even
1 if numbers sum to odd"
SumParityInt,jzhang30,"if(sum(list)%2 == 0) return 0
else return 1;"
SumParityInt,cchrabas,"I think it returns 1 if the sum of the numbers in the list is odd, and 0 otherwise."
SumParityInt,yyang149,"it evaluates the length of the array; if len(arr)%4 = 1 or 2, it evaluates to 1, else 0"
SumParityInt,mtavukcu,"The function returns 1 as long as there is an odd number of odd integers in the array. Otherwise, it returns 0."
SumParityInt,mkimurat,"I think the function only outputs 1s and 0s. I think it outputs 1 if the sum of the numbers in the list is odd, otherwise it outputs 0."
SumParityInt,akim112,input % 2 
SumParityInt,,"Returns 0 if the sum of all the numbers is even, 1 if it's odd."
SumParityInt,ysayin,"It is a function that checks whether the sum of the input numbers are odd or even
"
